rank,uid,profile,start_date,end_date,name,changesets,map_changes,highway_len_m,nodes.create,nodes.modify,nodes.delete,ways.create,ways.modify,ways.delete,relations.create,relations.modify,relations.delete,poi.create,poi.modify,building.create,building.modify,highway.create,highway.modify,waterway.create,waterway.modify,amenity.create,amenity.modify,countries,editors,hashtags,tags_create,tags_modify
28,18938750,https://www.openstreetmap.org/user/kushalpathak,2023-10-05 00:00:00+00:00,2023-12-09 03:03:46+00:00,kushalpathak,10.0,1157.0,0.0,385.0,529.0,129.0,86.0,3.0,25.0,0.0,0.0,0.0,0.0,0.0,84.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,"China,Nepal",iD 2.21.1,"#startnetwork,#hotosm-project-15639,#APHub,#GuruShristi,#SCS2023,#bosc,#OMGuru,#SNRMPNepal,#aphub,#GuruPragya","{""building"": 84, ""natural"": 2, ""water"": 2}","{""building"": 2, ""landuse"": 1}"
29,20570493,https://www.openstreetmap.org/user/sujinastha,2023-10-05 00:00:00+00:00,2023-12-09 03:03:46+00:00,sujinastha,18.0,921.0,5561.0,832.0,12.0,0.0,62.0,15.0,0.0,0.0,0.0,0.0,2.0,1.0,44.0,0.0,19.0,12.0,0.0,0.0,0.0,0.0,Nepal,"iD 2.21.1,iD 2.27.3","#startnetwork,#hotosm-project-15639,#Gurudibikshya,#OMGuru,#Guruaayush,#SNRMPNepal,#aphub,#itechkarnali","{""building"": 44, ""highway"": 19, ""crossing"": 1, ""historic"": 1}","{""highway"": 12, ""name"": 7, ""surface"": 5, ""natural"": 3, ""sac_scale"": 2, ""hazard_type"": 1, ""hazard_prone"": 1}"
30,19473195,https://www.openstreetmap.org/user/Pradip%20Subedi,2023-10-05 00:00:00+00:00,2023-12-09 03:03:46+00:00,Pradip Subedi,43.0,909.0,7000.0,637.0,154.0,1.0,100.0,17.0,0.0,0.0,0.0,0.0,9.0,1.0,84.0,1.0,11.0,8.0,0.0,2.0,0.0,0.0,Nepal,"JOSM/1.5 (18822 en),iD 2.21.1","#startnetwork,#hotosm-project-15639,#APHub,#hotosm-project-15638,#GuruShristi,#SCS2023,#bosc,#BOSC,#pradipsubedi,#OMGuru,#SNRMPNepal,#aphub,#GuruPragya,#Startnetwork_Nepal","{""building"": 84, ""natural"": 14, ""highway"": 11}","{""highway"": 8, ""landuse"": 4, ""waterway"": 2, ""natural"": 2, ""name"": 2, ""ref"": 1, ""building"": 1}"
31,20622726,https://www.openstreetmap.org/user/Milan5k,2023-10-05 00:00:00+00:00,2023-12-09 03:03:46+00:00,Milan5k,2.0,882.0,526.0,836.0,0.0,0.0,45.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,Nepal,JOSM/1.5 (18822 en),"#startnetwork,#hotosm-project-15639,#OMGuru,#SNRMPNepal,#aphub","{""tracktype"": 36, ""highway"": 5, ""building"": 3}","{""highway"": 1, ""tracktype"": 1}"
32,13031156,https://www.openstreetmap.org/user/Rabina%20Poudyal,2023-10-05 00:00:00+00:00,2023-12-09 03:03:46+00:00,Rabina Poudyal,10.0,845.0,8005.0,669.0,154.0,0.0,14.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,6.0,0.0,0.0,0.0,0.0,Nepal,JOSM/1.5 (18822 en),"#startnetwork,#hotosm-project-15639,#GuruArun,#GuruSamrat,#OMGuru,#SNRMPNepal,#GuruRabina,#aphub,#hotosm-project-14898","{""highway"": 13, ""building"": 1}","{""highway"": 6, ""surface"": 3, ""boundary"": 1, ""natural"": 1, ""admin_level"": 1}"
33,1073941,https://www.openstreetmap.org/user/nirajanrajkarnikar,2023-10-05 00:00:00+00:00,2023-12-09 03:03:46+00:00,nirajanrajkarnikar,7.0,650.0,2176.0,563.0,1.0,0.0,80.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,78.0,6.0,1.0,0.0,0.0,0.0,Nepal,iD 2.21.1,"#startnetwork,#hotosm-project-15639,#hotosm-project-15638,#GuruAayush,#GuruDibikshya,#OMGuru,#iTechKarnali,#SNRMPNepal,#aphub,#hotosm-project-14898,#guruaayush,#gurudibikshya","{""highway"": 78, ""building"": 1, ""waterway"": 1}","{""highway"": 6, ""surface"": 2, ""source"": 1, ""name"": 1}"
34,13116044,https://www.openstreetmap.org/user/Namrata%20%20Shrestha,2023-10-05 00:00:00+00:00,2023-12-09 03:03:46+00:00,Namrata  Shrestha,10.0,639.0,29973.0,575.0,0.0,1.0,56.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,47.0,0.0,0.0,1.0,0.0,0.0,Nepal,"iD 2.21.1,JOSM/1.5 (18646 en)","#startnetwork,#hotosm-project-15639,#GuruArun,#guruniruta,#GuruSamrat,#OMGuru,#SNRMPNepal,#gurupragya,#gurugorakg,#aphub,#GuruRabina,#guruvivek","{""highway"": 47, ""building"": 9}","{""boundary"": 4, ""admin_level"": 4, ""natural"": 2, ""waterway"": 1}"
35,19476616,https://www.openstreetmap.org/user/Roshani%20Sharma,2023-10-05 00:00:00+00:00,2023-12-09 03:03:46+00:00,Roshani Sharma,109.0,600.0,7896.0,482.0,0.0,0.0,108.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,96.0,1.0,13.0,7.0,0.0,1.0,0.0,0.0,"China,Nepal",iD 2.21.1,"#startnetwork,#hotosm-project-15639,#OMGuru,#SNRMPNepal,#aphub","{""building"": 96, ""highway"": 13, ""name"": 10, ""width"": 1}","{""highway"": 7, ""name"": 6, ""building"": 1, ""surface"": 1, ""natural"": 1, ""waterway"": 1}"
36,20622718,https://www.openstreetmap.org/user/Nabii,2023-10-05 00:00:00+00:00,2023-12-09 03:03:46+00:00,Nabii,3.0,521.0,0.0,185.0,234.0,49.0,36.0,13.0,4.0,0.0,0.0,0.0,0.0,3.0,36.0,1.0,0.0,11.0,0.0,0.0,0.0,3.0,Nepal,JOSM/1.5 (18822 en),"#startnetwork,#hotosm-project-15639,#GuruNiruta,#GuruGorakh,#OMGuru,#SNRMPNepal,#aphub,#GuruPragya,#GuruVivek","{""building"": 36}","{""highway"": 11, ""name"": 4, ""amenity"": 3, ""isced:level"": 1, ""building"": 1, ""landuse"": 1}"
37,20622873,https://www.openstreetmap.org/user/Dipika%20Thapa,2023-10-05 00:00:00+00:00,2023-12-09 03:03:46+00:00,Dipika Thapa,1.0,513.0,0.0,90.0,14.0,387.0,2.0,7.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,Nepal,JOSM/1.5 (18822 en),"#startnetwork,#hotosm-project-15639,#GuruNiruta,#GuruGorakh,#OMGuru,#SNRMPNepal,#aphub,#GuruPragya,#GuruVivek","{""landuse"": 2}","{""natural"": 4, ""highway"": 3, ""name"": 1}"
38,19852789,https://www.openstreetmap.org/user/Shafira%20fath,2023-10-05 00:00:00+00:00,2023-12-09 03:03:46+00:00,Shafira fath,19.0,504.0,15899.0,447.0,3.0,6.0,35.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,4.0,0.0,0.0,0.0,0.0,Nepal,"iD 2.21.1,JOSM/1.5 (18772 en)","#startnetwork,#GuruArun,#GuruSamrat,#OMGuru,#SNRMPNepal,#GuruRabina,#aphub,#hotosm-project-14898","{""highway"": 35, ""name"": 1}","{""natural"": 9, ""highway"": 4, ""surface"": 1}"
39,20568439,https://www.openstreetmap.org/user/NimsKhau,2023-10-05 00:00:00+00:00,2023-12-09 03:03:46+00:00,NimsKhau,7.0,482.0,1903.0,447.0,13.0,0.0,12.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,7.0,0.0,0.0,0.0,0.0,Nepal,"JOSM/1.5 (18822 en),iD 2.21.1","#startnetwork,#hotosm-project-15639,#hotosm-project-15638,#Gurudibikshya,#GuruDibikshya,#OMGuru,#Guruaayush,#SNRMPNepal,#aphub,#itechKarnali,#hotosm-project-14898,#itechkarnali,#GuruAayush","{""highway"": 11}","{""highway"": 7, ""boundary"": 2, ""surface"": 2, ""admin_level"": 2, ""source"": 1, ""name"": 1}"
40,20577679,https://www.openstreetmap.org/user/Bigyan%20Sapkota,2023-10-05 00:00:00+00:00,2023-12-09 03:03:46+00:00,Bigyan Sapkota,14.0,480.0,0.0,360.0,34.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nepal,JOSM/1.5 (18822 en),"#startnetwork,#hotosm-project-15639,#APHub,#GuruShristi,#SCS2023,#bosc,#OMGuru,#SNRMPNepal,#aphub,#GuruPragya","{""building"": 86}",{}
41,19388749,https://www.openstreetmap.org/user/Prayon%20Joshi,2023-10-05 00:00:00+00:00,2023-12-09 03:03:46+00:00,Prayon Joshi,6.0,469.0,2328.0,436.0,4.0,0.0,16.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,8.0,0.0,0.0,0.0,0.0,Nepal,JOSM/1.5 (18822 en),"#startnetwork,#hotosm-project-15639,#GuruShristi,#OMGuru,#SNRMPNepal,#aphub","{""highway"": 9, ""route"": 5}","{""highway"": 8, ""admin_level"": 3, ""boundary"": 3, ""name"": 2, ""natural"": 2, ""ref"": 2, ""ref:old"": 1, ""surface"": 1, ""source"": 1, ""name:ne"": 1}"
42,12571990,https://www.openstreetmap.org/user/Rookie%20Pro%20Nigga,2023-10-05 00:00:00+00:00,2023-12-09 03:03:46+00:00,Rookie Pro Nigga,1.0,359.0,0.0,53.0,28.0,255.0,1.0,7.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,Nepal,JOSM/1.5 (18700 en),"#startnetwork,#OMGuru,#SNRMPNepal,#aphub,#hotosm-project-14898","{""highway"": 1}","{""highway"": 4, ""natural"": 3}"
43,20570509,https://www.openstreetmap.org/user/ASK822,2023-10-05 00:00:00+00:00,2023-12-09 03:03:46+00:00,ASK822,4.0,350.0,3163.0,338.0,0.0,0.0,7.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,8.0,4.0,0.0,0.0,0.0,0.0,Nepal,iD 2.21.1,"#startnetwork,#hotosm-project-15639,#hotosm-project-15638,#OMGuru,#SNRMPNepal,#aphub","{""highway"": 8}","{""highway"": 4, ""building"": 1}"
44,20070443,https://www.openstreetmap.org/user/Samikshya%20Ghimire,2023-10-05 00:00:00+00:00,2023-12-09 03:03:46+00:00,Samikshya Ghimire,6.0,345.0,4842.0,311.0,4.0,0.0,22.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,4.0,2.0,3.0,0.0,0.0,Nepal,iD 2.21.1,"#startnetwork,#hotosm-project-15639,#hotosm-project-15638,#guruarun,#OMGuru,#gururabina,#SNRMPNepal,#aphub,#gurusamrat","{""highway"": 18, ""landuse"": 2, ""waterway"": 2, ""layer"": 1}","{""highway"": 4, ""name"": 4, ""waterway"": 3, ""surface"": 2, ""admin_level"": 1, ""narrow"": 1, ""source"": 1, ""width"": 1, ""boundary"": 1}"
45,20570452,https://www.openstreetmap.org/user/Heritagegamer,2023-10-05 00:00:00+00:00,2023-12-09 03:03:46+00:00,Heritagegamer,6.0,321.0,1129.0,310.0,2.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,Nepal,iD 2.21.1,"#startnetwork,#GuruDibikshya,#OMGuru,#itech,#SNRMPNepal,#aphub,#hotosm-project-14898,#GuruAayush","{""natural"": 3, ""highway"": 3}","{""highway"": 2, ""natural"": 1, ""waterway"": 1}"
46,15651714,https://www.openstreetmap.org/user/puskarpaudel,2023-10-05 00:00:00+00:00,2023-12-09 03:03:46+00:00,puskarpaudel,6.0,305.0,7727.0,283.0,2.0,0.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,4.0,0.0,0.0,0.0,0.0,Nepal,JOSM/1.5 (18570 en),"#startnetwork,#hotosm-project-15639,#GuruArun,#hotosm-project-15638,#GuruSamrat,#OMGuru,#SNRMPNepal,#GuruRabina,#aphub,#hotosm-project-14898","{""highway"": 15}","{""highway"": 4, ""boundary"": 1, ""admin_level"": 1}"
47,19852710,https://www.openstreetmap.org/user/MHF%20HIFLA,2023-10-05 00:00:00+00:00,2023-12-09 03:03:46+00:00,MHF HIFLA,6.0,258.0,13362.0,203.0,30.0,3.0,12.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,5.0,0.0,1.0,0.0,0.0,Nepal,JOSM/1.5 (18772 en_GB),"#startnetwork,#hotosm-project-15638,#OMGuru,#SNRMPNepal,#aphub,#hotosm-project-14898","{""highway"": 12}","{""highway"": 5, ""natural"": 3, ""boundary"": 1, ""waterway"": 1, ""admin_level"": 1, ""source"": 1, ""name"": 1}"
48,20568362,https://www.openstreetmap.org/user/heypeakay,2023-10-05 00:00:00+00:00,2023-12-09 03:03:46+00:00,heypeakay,6.0,256.0,2519.0,195.0,11.0,20.0,18.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,4.0,0.0,0.0,0.0,0.0,Nepal,iD 2.21.1,"#startnetwork,#hotosm-project-15639,#OMGuru,#SNRMPNepal,#itechkarnali,#aphub,#guruaayush,#gurudibikshya","{""highway"": 18}","{""highway"": 4, ""name"": 4, ""landuse"": 2, ""ref"": 1, ""boundary"": 1, ""admin_level"": 1, ""surface"": 1}"
49,17995890,https://www.openstreetmap.org/user/SAM01231,2023-10-05 00:00:00+00:00,2023-12-09 03:03:46+00:00,SAM01231,6.0,235.0,1754.0,205.0,16.0,0.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,1.0,0.0,0.0,Nepal,"JOSM/1.5 (18822 en),iD 2.21.1","#startnetwork,#hotosm-project-15638,#GuruShristi,#OMGuru,#SNRMPNepal,#aphub","{""highway"": 9, ""natural"": 1}","{""natural"": 1, ""highway"": 1, ""waterway"": 1, ""surface"": 1}"
50,8698377,https://www.openstreetmap.org/user/demoore19,2023-10-05 00:00:00+00:00,2023-12-09 03:03:46+00:00,demoore19,2.0,208.0,1469.0,197.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,Nepal,iD 2.21.1,"#startnetwork,#hotosm-project-15638,#OMGuru,#SNRMPNepal,#aphub,#hotosm-project-14898","{""highway"": 5, ""building"": 2}","{""highway"": 2, ""ref"": 1, ""boundary"": 1, ""admin_level"": 1, ""natural"": 1, ""name"": 1}"
51,18994808,https://www.openstreetmap.org/user/Ushan%20Khadka,2023-10-05 00:00:00+00:00,2023-12-09 03:03:46+00:00,Ushan Khadka,4.0,180.0,0.0,169.0,4.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Nepal,JOSM/1.5 (18822 en),"#startnetwork,#hotosm-project-15639,#GuruShristi,#SCS2023,#OMGuru,#SNRMPNepal,#aphub,#GuruPragya,#BOSC","{""building"": 4}","{""highway"": 1}"
52,781054,https://www.openstreetmap.org/user/Manoj%20Thapa,2023-10-05 00:00:00+00:00,2023-12-09 03:03:46+00:00,Manoj Thapa,3.0,172.0,1999.0,52.0,0.0,112.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,Nepal,JOSM/1.5 (18822 en),"#startnetwork,#hotosm-project-15639,#OMGuru,#SNRMPNepal,#aphub","{""highway"": 2}","{""highway"": 2, ""natural"": 1, ""water"": 1}"
53,11171620,https://www.openstreetmap.org/user/Anisa%20Dhakal,2023-10-05 00:00:00+00:00,2023-12-09 03:03:46+00:00,Anisa Dhakal,2.0,144.0,0.0,27.0,99.0,1.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,5.0,0.0,2.0,0.0,0.0,Nepal,JOSM/1.5 (18646 en),"#startnetwork,#GuruShristi,#OMGuru,#SNRMPNepal,#GESAN,#aphub,#hotosm-project-14898",{},"{""building"": 8, ""highway"": 5, ""name"": 4, ""ref"": 4, ""waterway"": 2, ""layer"": 1, ""bridge"": 1, ""natural"": 1, ""landuse"": 1}"
54,19852853,https://www.openstreetmap.org/user/MMFMUSHRIFA,2023-10-05 00:00:00+00:00,2023-12-09 03:03:46+00:00,MMFMUSHRIFA,2.0,129.0,2595.0,124.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,Nepal,iD 2.21.1,"#startnetwork,#OMGuru,#SNRMPNepal,#aphub,#hotosm-project-14898","{""highway"": 3, ""tunnel"": 1, ""layer"": 1}","{""natural"": 1, ""boundary"": 1, ""admin_level"": 1}"
55,20525114,https://www.openstreetmap.org/user/Gunaraj%20%28ATUL%29%20Adhikari,2023-10-05 00:00:00+00:00,2023-12-09 03:03:46+00:00,Gunaraj (ATUL) Adhikari,3.0,127.0,3629.0,93.0,7.0,6.0,12.0,6.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,9.0,3.0,0.0,1.0,0.0,0.0,Nepal,iD 2.21.1,"#startnetwork,#hotosm-project-15639,#guruDibikshya,#guruayaush,#OMGuru,#SNRMPNepal,#aphub,#hotosm-project-14898","{""highway"": 9, ""layer"": 1, ""boundary"": 1, ""bridge"": 1, ""building"": 1, ""natural"": 1, ""admin_level"": 1}","{""admin_level"": 5, ""boundary"": 5, ""highway"": 3, ""name"": 2, ""ward"": 2, ""type"": 2, ""waterway"": 1, ""crossing"": 1}"
56,19821175,https://www.openstreetmap.org/user/kavihari,2023-10-05 00:00:00+00:00,2023-12-09 03:03:46+00:00,kavihari,2.0,126.0,1913.0,121.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,Nepal,iD 2.21.1,"#startnetwork,#hotosm-project-15639,#OMGuru,#SNRMPNepal,#aphub","{""highway"": 5}",{}
57,11593794,https://www.openstreetmap.org/user/Suraj%20Thapa,2023-10-05 00:00:00+00:00,2023-12-09 03:03:46+00:00,Suraj Thapa,2.0,121.0,0.0,59.0,56.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,Nepal,JOSM/1.5 (18822 en),"#startnetwork,#OMGuru,#SNRMPNepal,#aphub,#hotosm-project-14898","{""highway"": 1, ""building"": 1}","{""highway"": 2, ""building"": 2, ""ref"": 1, ""ref:old"": 1, ""name"": 1}"
58,13115486,https://www.openstreetmap.org/user/Pragya%20Joshi,2023-10-05 00:00:00+00:00,2023-12-09 03:03:46+00:00,Pragya Joshi,1.0,114.0,592.0,90.0,5.0,0.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,Nepal,JOSM/1.5 (18772 en),"#startnetwork,#hotosm-project-15639,#guruniruta,#OMGuru,#SNRMPNepal,#gurupragya,#aphub","{""building"": 17, ""highway"": 1}","{""highway"": 1, ""ref"": 1}"
59,20622586,https://www.openstreetmap.org/user/Anjila%20Bade,2023-10-05 00:00:00+00:00,2023-12-09 03:03:46+00:00,Anjila Bade,1.0,112.0,0.0,56.0,53.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nepal,JOSM/1.5 (18822 en),"#startnetwork,#hotosm-project-15639,#OMGuru,#SNRMPNepal,#aphub",{},"{""natural"": 3}"
60,19852709,https://www.openstreetmap.org/user/MJF%20MUBASSARA,2023-10-05 00:00:00+00:00,2023-12-09 03:03:46+00:00,MJF MUBASSARA,1.0,78.0,2399.0,75.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,,JOSM/1.5 (18772 en_GB),"#startnetwork,#hotosm-project-15639,#OMGuru,#SNRMPNepal,#aphub","{""highway"": 3}",{}
61,20515983,https://www.openstreetmap.org/user/Hishila,2023-10-05 00:00:00+00:00,2023-12-09 03:03:46+00:00,Hishila,2.0,69.0,482.0,62.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,Nepal,JOSM/1.5 (18822 en),"#startnetwork,#GuruArun,#hotosm-project-15638,#GuruSamrat,#OMGuru,#SNRMPNepal,#GuruRabina,#aphub","{""highway"": 3, ""motorroad"": 2, ""surface"": 1, ""smoothness"": 1}","{""highway"": 3, ""waterway"": 1, ""surface"": 1}"
62,16060450,https://www.openstreetmap.org/user/Dibikshya%20Shrestha,2023-10-05 00:00:00+00:00,2023-12-09 03:03:46+00:00,Dibikshya Shrestha,2.0,68.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,Nepal,"JOSM/1.5 (18427 en),iD 2.21.1","#startnetwork,#OMGuru,#SNRMPNepal,#itechkarnali,#aphub,#hotosm-project-14898,#guruaayush,#gurudibikshya",{},{}
63,20570507,https://www.openstreetmap.org/user/Prabesh%4013,2023-10-05 00:00:00+00:00,2023-12-09 03:03:46+00:00,Prabesh@13,3.0,66.0,0.0,62.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Nepal,iD 2.21.1,"#startnetwork,#hotosm-project-15638,#Gurudibikshya,#GuruDibikshya,#OMGuru,#Guruaayush,#SNRMPNepal,#aphub,#itechkarnali,#GuruAayush","{""natural"": 1, ""landuse"": 1, ""name"": 1}","{""building"": 1, ""name"": 1}"
64,20570505,https://www.openstreetmap.org/user/Smri,2023-10-05 00:00:00+00:00,2023-12-09 03:03:46+00:00,Smri,1.0,60.0,0.0,58.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Nepal,iD 2.21.1,"#startnetwork,#hotosm-project-15638,#Gurudibikshya,#OMGuru,#Guruaayush,#SNRMPNepal,#aphub,#itechkarnali","{""highway"": 1, ""surface"": 1}","{""natural"": 1}"
65,20620790,https://www.openstreetmap.org/user/Rubi%20Shrestha,2023-10-05 00:00:00+00:00,2023-12-09 03:03:46+00:00,Rubi Shrestha,1.0,48.0,4228.0,43.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,Nepal,iD 2.21.1,"#startnetwork,#hotosm-project-15639,#OMGuru,#SNRMPNepal,#aphub","{""highway"": 3, ""waterway"": 2, ""natural"": 2, ""river:waterway_distance"": 1, ""surface"": 1, ""road_marking"": 1, ""source"": 1, ""name"": 1, ""ele"": 1}",{}
66,13888714,https://www.openstreetmap.org/user/Kowsiya27,2023-10-05 00:00:00+00:00,2023-12-09 03:03:46+00:00,Kowsiya27,4.0,45.0,0.0,37.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,Nepal,JOSM/1.5 (18427 en),"#startnetwork,#hotosm-project-15638,#OMGuru,#SNRMPNepal,#itechkarnali,#aphub,#guruaayush,#gurudibikshya","{""waterway"": 5, ""natural"": 1, ""highway"": 1}",{}
67,18638935,https://www.openstreetmap.org/user/Prasannata,2023-10-05 00:00:00+00:00,2023-12-09 03:03:46+00:00,Prasannata,1.0,41.0,309.0,38.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Nepal,iD 2.21.1,"#startnetwork,#hotosm-project-15639,#OMGuru,#SNRMPNepal,#aphub","{""path"": 1, ""highway"": 1}",{}
68,12114708,https://www.openstreetmap.org/user/David_HDF,2023-10-05 00:00:00+00:00,2023-12-09 03:03:46+00:00,David_HDF,2.0,39.0,154.0,22.0,12.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,Nepal,"JOSM/1.5 (18822 en),iD 2.21.1","#startnetwork,#hotosm-project-15638,#OMGuru,#SNRMPNepal,#aphub","{""highway"": 1}","{""highway"": 4}"
69,20536706,https://www.openstreetmap.org/user/Domino%20Mapper,2023-10-05 00:00:00+00:00,2023-12-09 03:03:46+00:00,Domino Mapper,4.0,30.0,0.0,26.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Nepal,iD 2.21.1,"#startnetwork,#hotosm-project-15639,#OMGuru,#SNRMPNepal,#aphub","{""landuse"": 1, ""waterway"": 1, ""building"": 1}","{""amenity"": 1, ""name"": 1}"
70,15560007,https://www.openstreetmap.org/user/Tejendra77,2023-10-05 00:00:00+00:00,2023-12-09 03:03:46+00:00,Tejendra77,1.0,29.0,1790.0,27.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,Nepal,iD 2.21.1,"#startnetwork,#hotosm-project-15639,#OMGuru,#SNRMPNepal,#aphub","{""highway"": 2, ""landuse"": 1}",{}
71,19469046,https://www.openstreetmap.org/user/achyutkoirala,2023-10-05 00:00:00+00:00,2023-12-09 03:03:46+00:00,achyutkoirala,1.0,27.0,0.0,25.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Nepal,iD 2.21.1,"#startnetwork,#hotosm-project-15639,#bosc,#OMGuru,#SNRMPNepal,#aphub","{""waterway"": 1}","{""waterway"": 1}"
72,10612476,https://www.openstreetmap.org/user/UNGSC-Michael%20Montani,2023-10-05 00:00:00+00:00,2023-12-09 03:03:46+00:00,UNGSC-Michael Montani,1.0,23.0,0.0,13.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,Nepal,RapiD 1.1.9-tm.1,"#startnetwork,#OMGuru,#SNRMPNepal,#aphub,#hotosm-project-14898","{""highway"": 1, ""source"": 1}","{""highway"": 1, ""surface"": 1}"
73,20570602,https://www.openstreetmap.org/user/%E0%A4%B8%E0%A4%A8%E0%A5%8D%E0%A4%A6%E0%A5%87%E0%A4%B6%20%E0%A4%B2%E0%A5%8B%E0%A4%B9%E0%A4%A8%E0%A5%80%20%28Sandesh%20Lohani%29,2023-10-05 00:00:00+00:00,2023-12-09 03:03:46+00:00,सन्देश लोहनी (Sandesh Lohani),1.0,19.0,0.0,18.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Nepal,JOSM/1.5 (18822 en),"#startnetwork,#hotosm-project-15639,#APHub,#GuruShristi,#SCS2023,#bosc,#OMGuru,#SNRMPNepal,#aphub,#GuruPragya","{""highway"": 1}",{}
